Data_Status,MSN,StateCode,Year,Data
"2023F","ABICB","GA","2019",0
"2023F","ABICB","GA","2020",0
"2023F","ABICB","GA","2021",0
"2023F","ABICB","GA","2022",0
"2023F","ABICB","GA","2023",0
"2023F","ABICB","HI","1960",0
"2023F","ABICB","HI","1961",0
"2023F","ABICB","HI","1962",0
"2023F","ABICB","HI","1963",0
"2023F","ABICB","HI","1964",0
"2023F","ABICB","HI","1965",0
"2023F","ABICB","HI","1966",0
"2023F","ABICB","HI","1967",0
"2023F","ABICB","HI","1968",0
"2023F","ABICB","HI","1969",0
"2023F","ABICB","HI","1970",0
"2023F","ABICB","HI","1971",0
"2023F","ABICB","HI","1972",0
"2023F","ABICB","HI","1973",0
"2023F","ABICB","HI","1974",0
"2023F","ABICB","HI","1975",0
"2023F","ABICB","HI","1976",0
"2023F","ABICB","HI","1977",0
"2023F","ABICB","HI","1978",0
"2023F","ABICB","HI","1979",0
"2023F","ABICB","HI","1980",0
"2023F","ABICB","HI","1981",15
"2023F","ABICB","HI","1982",16
"2023F","ABICB","HI","1983",2
"2023F","ABICB","HI","1984",0
"2023F","ABICB","HI","1985",13
"2023F","ABICB","HI","1986",4
"2023F","ABICB","HI","1987",0
"2023F","ABICB","HI","1988",-9
"2023F","ABICB","HI","1989",1
"2023F","ABICB","HI","1990",2
"2023F","ABICB","HI","1991",-1
"2023F","ABICB","HI","1992",2
"2023F","ABICB","HI","1993",1
"2023F","ABICB","HI","1994",60
"2023F","ABICB","HI","1995",52
"2023F","ABICB","HI","1996",68
"2023F","ABICB","HI","1997",86
"2023F","ABICB","HI","1998",37
"2023F","ABICB","HI","1999",58
"2023F","ABICB","HI","2000",34
"2023F","ABICB","HI","2001",55
"2023F","ABICB","HI","2002",67
"2023F","ABICB","HI","2003",66
"2023F","ABICB","HI","2004",92
"2023F","ABICB","HI","2005",75
"2023F","ABICB","HI","2006",6
"2023F","ABICB","HI","2007",15
"2023F","ABICB","HI","2008",1
"2023F","ABICB","HI","2009",-7
"2023F","ABICB","HI","2010",-2
"2023F","ABICB","HI","2011",0
"2023F","ABICB","HI","2012",0
"2023F","ABICB","HI","2013",-3
"2023F","ABICB","HI","2014",-1
"2023F","ABICB","HI","2015",-3
"2023F","ABICB","HI","2016",-2
"2023F","ABICB","HI","2017",-2
